"","Sexo","Educ","cargo","Sal"
"1","fem","sec","outro","4.13"
"2","fem","prim","outro","5.32"
"3","masc","sec","outro","5.1"
"4","fem","prim","outro","6.71"
"5","fem","prim","outro","4.24"
"6","fem","prim","outro","8.1"
"7","masc","sec","outro","5.05"
"8","fem","prim","outro","5.06"
"9","fem","sec","outro","6.14"
"10","fem","sec","outro","2.88"
"11","masc","sec","outro","2.31"
"12","masc","sec","outro","4.66"
"13","fem","sec","outro","5.24"
"14","fem","sec","outro","5.85"
"15","fem","terc","gerencial","11.61"
"16","fem","prim","outro","5.54"
"17","masc","prim","outro","4.79"
"18","masc","prim","outro","5.84"
"19","masc","prim","outro","5.68"
"20","masc","sec","outro","6.2"
"21","masc","prim","outro","2.33"
"22","masc","sec","outro","6.29"
"23","fem","sec","outro","7.5"
"24","masc","prim","outro","5.91"
"25","masc","prim","outro","5.49"
"26","masc","sec","outro","5.45"
"27","fem","sec","outro","1.68"
"28","fem","terc","gerencial","9.29"
"29","fem","prim","outro","12.2"
"30","masc","sec","outro","5.76"
"31","masc","sec","outro","2.64"
"32","masc","prim","outro","6.88"
"33","fem","prim","outro","2.49"
"34","masc","sec","outro","5"
"35","masc","sec","outro","3.19"
"36","fem","sec","outro","3.09"
"37","fem","sec","gerencial","8.14"
"38","masc","prim","outro","10.95"
"39","fem","terc","gerencial","9.35"
"40","masc","prim","outro","4.5"
"41","masc","prim","outro","4.08"
"42","masc","sec","outro","3.92"
"43","masc","terc","gerencial","10.97"
"44","fem","sec","outro","5.52"
"45","fem","sec","outro","4.23"
"46","masc","prim","outro","6.48"
"47","fem","sec","outro","3.61"
"48","masc","prim","outro","5.69"
"49","masc","prim","outro","5.06"
"50","masc","prim","outro","4.73"
"51","masc","sec","outro","2.98"
"52","masc","sec","outro","6.55"
"53","masc","sec","outro","4.88"
"54","fem","prim","outro","3.31"
"55","fem","sec","outro","2.05"
"56","masc","prim","outro","8.84"
"57","fem","sec","outro","6.75"
"58","masc","sec","outro","14.17"
"59","fem","prim","outro","4.85"
"60","masc","prim","outro","5.45"
"61","masc","sec","outro","9.54"
"62","fem","sec","gerencial","8.82"
"63","fem","terc","gerencial","9.85"
"64","masc","terc","gerencial","14.51"
"65","masc","prim","outro","4.73"
"66","fem","prim","outro","8.33"
"67","masc","terc","gerencial","14.21"
"68","masc","prim","outro","7.74"
"69","masc","sec","outro","5.07"
"70","fem","prim","outro","7.08"
"71","masc","sec","outro","5.2"
"72","masc","terc","gerencial","11"
"73","masc","prim","outro","5.26"
"74","masc","terc","gerencial","12.28"
"75","fem","prim","outro","5.34"
"76","fem","sec","outro","3.93"
"77","fem","sec","outro","6.32"
"78","fem","prim","outro","1.81"
"79","masc","sec","outro","3.05"
"80","masc","sec","outro","4.62"
"81","fem","terc","gerencial","18.07"
"82","fem","prim","outro","1.41"
"83","masc","prim","outro","4.18"
"84","masc","sec","outro","2.27"
"85","masc","prim","outro","4.43"
"86","masc","prim","outro","1.26"
"87","masc","sec","outro","5.11"
"88","fem","sec","outro","6.96"
"89","fem","prim","outro","6.26"
"90","fem","prim","outro","3.96"
"91","masc","sec","outro","6.44"
"92","fem","prim","outro","6.28"
"93","fem","terc","gerencial","8.74"
"94","fem","sec","outro","2.42"
"95","masc","sec","outro","4.89"
"96","masc","sec","outro","4.68"
"97","fem","prim","outro","2.5"
"98","masc","sec","outro","4.64"
"99","fem","sec","gerencial","9.69"
"100","fem","sec","outro","4"
"101","fem","sec","outro","3.59"
"102","fem","sec","outro","2.15"
"103","masc","sec","outro","5.41"
"104","fem","prim","outro","2.74"
"105","fem","sec","outro","4.29"
"106","fem","prim","outro","6.78"
"107","fem","prim","outro","5.54"
"108","masc","prim","outro","7.84"
"109","masc","terc","gerencial","14.11"
"110","fem","terc","outro","4.5"
"111","masc","sec","outro","4.39"
"112","fem","prim","outro","5.15"
"113","masc","prim","outro","5.71"
"114","fem","prim","outro","3.81"
"115","fem","sec","outro","4.47"
"116","masc","prim","outro","4.95"
"117","fem","terc","gerencial","13.15"
"118","fem","prim","outro","1.55"
"119","fem","prim","outro","5.1"
"120","fem","sec","gerencial","12.13"
"121","masc","terc","gerencial","15.77"
"122","masc","sec","outro","5.2"
"123","masc","prim","outro","2.3"
"124","fem","sec","outro","2.66"
"125","masc","prim","outro","3.02"
"126","masc","prim","outro","7.6"
"127","fem","prim","outro","4.6"
"128","masc","prim","outro","6.4"
"129","fem","sec","gerencial","9.82"
"130","masc","sec","gerencial","12.77"
"131","masc","sec","outro","6.99"
"132","masc","prim","outro","2.9"
"133","masc","sec","outro","7.01"
"134","fem","sec","gerencial","5.51"
"135","fem","sec","outro","1.98"
"136","masc","terc","gerencial","15.74"
"137","masc","sec","gerencial","13.46"
"138","fem","prim","outro","2.32"
"139","masc","sec","outro","3.31"
"140","masc","sec","outro","4.08"
"141","masc","sec","outro","1.51"
"142","masc","prim","outro","6.45"
"143","masc","prim","outro","6.08"
"144","masc","prim","outro","6.49"
"145","masc","prim","outro","5.34"
"146","fem","prim","outro","3.74"
"147","fem","sec","gerencial","10.75"
"148","fem","prim","outro","3.76"
"149","fem","terc","gerencial","7.25"
"150","fem","terc","gerencial","7.73"
"151","fem","prim","outro","6.36"
"152","fem","prim","outro","4.63"
"153","masc","prim","outro","6.04"
"154","fem","prim","outro","3.67"
"155","masc","sec","outro","4.11"
"156","masc","prim","outro","6.04"
"157","masc","sec","outro","3.69"
"158","fem","prim","outro","1.46"
"159","fem","prim","outro","4.35"
"160","fem","prim","outro","3.7"
"161","masc","prim","outro","4.06"
"162","masc","sec","outro","2.88"
"163","fem","sec","outro","6.87"
"164","fem","prim","outro","8.87"
"165","fem","prim","outro","6.71"
"166","fem","sec","outro","1.56"
"167","masc","sec","outro","13.24"
"168","masc","prim","outro","5.35"
"169","masc","sec","outro","2.54"
"170","masc","sec","outro","3.95"
"171","masc","sec","outro","2.08"
"172","masc","prim","outro","6.44"
"173","fem","prim","outro","5.09"
"174","masc","prim","outro","6.79"
"175","fem","prim","outro","6.54"
"176","fem","sec","outro","2.62"
"177","masc","prim","outro","8.3"
"178","masc","prim","outro","3.38"
"179","masc","sec","outro","8.37"
"180","fem","sec","outro","4.56"
"181","masc","sec","outro","3.44"
"182","fem","prim","outro","3.92"
"183","masc","prim","outro","5.19"
"184","masc","sec","outro","3.97"
"185","masc","prim","outro","3.34"
"186","fem","prim","outro","7.3"
"187","fem","prim","outro","4.86"
"188","fem","sec","outro","3.13"
"189","masc","sec","outro","4.54"
"190","masc","prim","outro","1.28"
"191","masc","sec","outro","4.44"
"192","masc","terc","gerencial","9.68"
"193","fem","sec","outro","4.59"
"194","masc","sec","outro","5.94"
"195","masc","prim","outro","7.87"
"196","masc","prim","outro","5.26"
"197","fem","prim","outro","1.62"
"198","masc","prim","outro","6.41"
"199","masc","prim","outro","1.3"
"200","masc","prim","outro","3.71"
"201","masc","sec","outro","1.35"
"202","fem","prim","outro","2.33"
"203","masc","prim","outro","6.1"
"204","masc","sec","outro","6.35"
"205","masc","sec","outro","4.58"
"206","fem","sec","outro","9.06"
"207","fem","sec","outro","3.71"
"208","fem","sec","outro","5.48"
"209","fem","prim","outro","6.78"
"210","masc","prim","outro","5.09"
"211","masc","sec","outro","5.67"
"212","masc","prim","outro","3.47"
"213","fem","sec","outro","5.24"
"214","fem","sec","outro","3.53"
"215","fem","sec","outro","6.43"
"216","masc","sec","outro","6.7"
"217","fem","prim","outro","3.53"
"218","masc","sec","outro","4.23"
"219","fem","sec","outro","6.48"
