"","Indicador incremento salario real"
"1",1
"2",0
"3",1
"4",1
"5",0
"6",0
"7",0
"8",1
"9",0
"10",1
"11",0
"12",0
"13",1
"14",0
"15",1
"16",0
"17",1
"18",1
"19",0
"20",1
"21",0
"22",1
"23",0
"24",1
"25",0
"26",0
"27",1
"28",0
"29",0
"30",1
"31",0
"32",1
"33",0
"34",1
"35",0
"36",1
"37",0
"38",1
"39",0
"40",1
"41",0
"42",1
"43",0
"44",1
"45",1
"46",0
"47",0
"48",1
"49",1
"50",1
"51",0
"52",1
"53",0
"54",0
"55",0
"56",0
"57",0
"58",1
"59",0
"60",1
"61",0
"62",0
"63",1
"64",0
"65",1
"66",0
"67",1
"68",0
"69",1
"70",0
"71",0
"72",1
"73",0
"74",1
"75",0
"76",1
"77",0
"78",1
"79",0
"80",1
"81",0
"82",1
"83",0
"84",0
"85",1
"86",0
"87",1
"88",1
"89",0
"90",1
"91",0
"92",1
"93",1
"94",0
"95",1
"96",1
"97",0
"98",0
"99",1
"100",0
"101",0
"102",1
"103",0
"104",1
"105",0
"106",1
"107",0
"108",1
"109",1
"110",0
"111",1
"112",1
"113",0
"114",1
"115",0
"116",1
"117",1
"118",0
"119",1
"120",0
"121",1
"122",1
"123",0
"124",1
"125",1
"126",0
"127",1
"128",0
"129",1
"130",0
"131",1
"132",0
"133",1
"134",0
"135",0
"136",1
"137",0
"138",0
"139",1
"140",1
"141",0
"142",1
"143",0
"144",1
"145",0
"146",0
"147",0
"148",1
"149",0
"150",1
"151",0
"152",0
"153",1
"154",0
"155",1
"156",0
"157",0
"158",1
"159",1
"160",0
"161",1
"162",0
"163",1
"164",1
"165",0
"166",0
"167",1
"168",1
"169",0
"170",1
"171",1
"172",0
"173",1
"174",0
"175",0
"176",1
"177",0
"178",0
"179",0
"180",1
"181",0
"182",1
"183",1
"184",0
"185",0
"186",1
"187",0
"188",0
"189",1
"190",0
"191",1
"192",0
"193",1
"194",1
"195",0
"196",0
"197",1
"198",0
"199",1
"200",1
"201",0
"202",1
"203",0
"204",1
"205",0
"206",0
"207",1
"208",0
"209",1
"210",0
"211",1
"212",0
"213",0
"214",1
"215",0
"216",0
"217",1
"218",0
"219",0
"220",1
"221",0
"222",1
"223",0
"224",1
"225",0
"226",1
"227",1
"228",0
"229",1
"230",0
"231",1
"232",0
"233",0
"234",0
"235",1
"236",0
"237",0
"238",0
"239",1
"240",1
"241",1
"242",1
"243",0
"244",0
"245",1
"246",0
"247",1
"248",0
"249",0
"250",0
"251",0
"252",1
"253",0
"254",1
"255",1
"256",1
"257",0
"258",1
"259",0
"260",1
"261",0
"262",1
"263",1
"264",0
"265",1
"266",0
"267",1
"268",0
"269",1
"270",0
"271",1
"272",0
"273",1
"274",0
"275",1
"276",0
"277",1
"278",1
"279",0
"280",1
"281",0
"282",0
"283",1
"284",0
"285",1
"286",0
"287",0
"288",1
"289",0
"290",1
"291",0
"292",0
"293",1
"294",0
"295",1
"296",0
"297",0
"298",1
"299",0
"300",0
"301",1
"302",0
"303",1
"304",0
"305",0
"306",1
"307",0
"308",1
"309",0
"310",1
"311",0
"312",0
"313",1
"314",0
"315",1
"316",0
"317",1
"318",0
"319",0
"320",0
"321",1
"322",0
"323",1
"324",0
"325",1
"326",0
"327",1
"328",0
"329",1
"330",0
"331",0
"332",1
"333",0
"334",1
"335",0
"336",1
"337",1
"338",0
"339",0
"340",1
"341",0
"342",0
"343",1
"344",0
"345",1
"346",0
"347",1
"348",0
"349",1
"350",0
"351",1
"352",0
"353",0
"354",1
"355",0
"356",1
"357",0
"358",0
"359",0
"360",1
"361",0
"362",0
"363",1
"364",0
"365",1
"366",0
"367",1
"368",0
"369",1
"370",1
"371",0
"372",1
"373",0
"374",1
"375",1
"376",0
"377",1
"378",1
"379",0
"380",0
"381",1
"382",0
"383",0
"384",1
"385",0
"386",1
"387",1
"388",1
"389",0
"390",1
"391",0
"392",0
"393",1
"394",0
"395",1
"396",0
"397",1
"398",0
"399",0
"400",0
"401",1
"402",0
"403",1
"404",0
"405",0
"406",0
"407",1
"408",0
"409",0
"410",1
"411",0
"412",1
"413",0
"414",1
"415",1
"416",1
"417",0
"418",1
"419",0
"420",0
"421",0
"422",0
"423",1
"424",0
"425",1
"426",0
"427",1
"428",1
"429",0
"430",1
"431",1
"432",1
"433",0
"434",0
"435",1
"436",0
"437",1
"438",0
"439",1
"440",1
"441",1
"442",0
"443",0
"444",1
"445",0
"446",0
"447",0
"448",1
"449",0
"450",0
"451",1
"452",1
"453",0
"454",1
"455",0
"456",1
"457",1
"458",0
"459",1
"460",0
"461",1
"462",0
"463",1
"464",0
"465",1
"466",0
"467",0
"468",1
"469",0
"470",1
"471",0
"472",1
"473",0
"474",0
"475",0
"476",1
"477",0
"478",1
"479",0
"480",1
"481",0
"482",1
"483",0
"484",1
"485",0
"486",1
"487",0
"488",0
"489",1
"490",0
"491",0
"492",1
"493",0
"494",1
"495",0
"496",1
"497",0
"498",1
"499",0
"500",1
"501",0
"502",0
"503",1
"504",1
"505",0
"506",1
"507",0
"508",0
"509",0
"510",0
"511",0
"512",1
"513",0
"514",0
"515",1
"516",0
"517",0
"518",1
"519",0
"520",1
"521",0
"522",1
"523",0
"524",1
"525",0
"526",0
"527",0
"528",0
"529",1
"530",0
"531",0
"532",0
"533",0
"534",1
"535",0
"536",1
"537",0
"538",1
"539",0
"540",1
"541",0
"542",1
"543",1
"544",0
"545",0
"546",1
"547",0
"548",1
"549",0
"550",1
"551",0
"552",1
"553",0
"554",1
"555",0
"556",1
"557",1
"558",0
"559",0
"560",1
"561",0
"562",1
"563",0
"564",0
"565",1
"566",0
"567",1
"568",0
"569",0
"570",1
"571",0
"572",0
"573",1
"574",0
"575",1
"576",0
"577",1
"578",1
"579",1
"580",0
"581",1
"582",0
"583",1
"584",0
"585",1
"586",0
"587",1
"588",0
"589",1
"590",0
"591",0
"592",1
"593",0
"594",1
"595",1
"596",1
"597",0
"598",0
"599",1
"600",0
"601",0
"602",1
"603",1
"604",1
"605",0
"606",1
"607",0
"608",0
"609",1
"610",0
"611",0
"612",0
"613",1
"614",0
"615",1
"616",0
"617",1
"618",0
"619",1
"620",1
"621",0
"622",1
"623",1
"624",0
"625",1
"626",0
"627",1
"628",0
"629",1
"630",0
"631",1
"632",1
"633",0
"634",1
"635",1
"636",1
"637",0
"638",0
"639",1
"640",0
"641",1
"642",0
"643",1
"644",0
"645",0
"646",0
"647",1
"648",0
"649",0
"650",1
"651",0
"652",1
"653",1
"654",0
"655",1
"656",1
"657",0
"658",1
"659",0
"660",1
"661",0
"662",1
"663",0
"664",1
"665",1
"666",0
"667",0
"668",1
"669",0
"670",1
"671",1
"672",0
"673",1
